4340	5470	M
3110	4330	AA
3060	3100	M
2250	3050	*SIL
13190	13360	CH
13160	13180	ER
13040	13150	S
13010	13030	*SIL
12240	13000	AA
5470	12230	M
15960	16170	T
15810	15950	AW
15730	15800	B
15660	15720	AH
15630	15650	*SIL
15440	15620	UW
15400	15430	Y
15360	15390	DH
15320	15350	IH
15240	15310	W
15180	15230	K
15030	15170	AO
14920	15020	T
14870	14910	AH
14810	14860	T
14780	14800	K
14710	14770	AY
14630	14700	L
14560	14620	AY
13360	14550	*SIL
20030	20160	*SIL
19640	20020	Z
19480	19630	R
19440	19470	IH
19340	19430	Y
19280	19330	D
19180	19270	ER
19140	19170	D
19110	19130	N
19060	19100	AH
18990	19050	HH
18860	18980	UW
18720	18850	T
18680	18710	N
18620	18670	AH
18560	18610	DH
18500	18550	R
18390	18490	AO
18340	18380	M
18300	18330	ER
16170	18290	F
24930	24970	T
24850	24920	AY
24770	24840	N
24710	24760	ER
24650	24700	DH
24590	24640	AH
24540	24580	ER
24450	24530	V
24390	24440	OW
24300	24380	JH
24230	24290	AH
24180	24220	N
24060	24170	AE
24000	24050	V
23960	23990	D
23900	23950	AH
23810	23890	S
23760	23800	AH
23710	23750	D
23660	23700	N
23590	23650	EH
23460	23580	M
23410	23450	AH
23370	23400	R
23270	23360	T
23140	23260	EY
23030	23130	S
22960	23020	AH
22920	22950	N
22890	22910	AH
22850	22880	V
22810	22840	IH
22740	22800	G
22680	22730	Z
22630	22670	AH
22600	22620	HH
22540	22590	D
22470	22530	L
22410	22460	ER
22320	22400	W
22290	22310	AH
22250	22280	DH
22210	22240	N
22140	22200	AW
22080	22130	ER
22010	22070	M
21980	22000	AH
21950	21970	R
21880	21940	F
21830	21870	S
21800	21820	T
21770	21790	N
21730	21760	AH
21670	21720	R
21620	21660	G
21570	21610	AH
21530	21560	M
21430	21520	IH
21280	21420	NG
21220	21270	IH
21170	21210	M
21140	21160	AH
21080	21130	K
20980	21070	L
20950	20970	EH
20890	20940	W
20820	20880	V
20780	20810	AH
20740	20770	N
20700	20730	AH
20600	20690	SH
20520	20590	IH
20470	20510	D
20420	20460	AH
20380	20410	R
20310	20370	T
20160	20300	AH
27170	27380	L
27130	27160	AH
27090	27120	F
26990	27080	TH
26910	26980	UW
26830	26900	Y
26740	26820	S
26680	26730	AH
26630	26670	T
26590	26620	P
26520	26580	EH
26470	26510	K
26430	26460	S
26390	26420	T
24970	26380	IH
28550	28670	*SIL
28410	28540	K
28340	28400	IH
28280	28330	M
28160	28270	AE
28060	28150	N
27990	28050	AY
27910	27980	D
27380	27900	*SIL
29980	30140	*SIL
29720	29970	R
29660	29710	UH
29630	29650	N
29600	29620	AH
29570	29590	R
29510	29560	P
29450	29500	AH
29410	29440	R
29360	29400	T
29320	29350	N
29230	29310	AA
29190	29220	N
29100	29180	AH
28670	28670	*SIL
35070	35190	*SIL
35000	35060	T
34890	34990	S
34860	34880	AA
34830	34850	K
34780	34820	*SIL
34710	34770	L
34660	34700	AH
34600	34650	B
34570	34590	AH
34470	34560	S
34380	34460	AA
34330	34370	P
34280	34320	T
34240	34270	S
34200	34230	AH
34170	34190	OW
34120	34160	L
34070	34110	T
34030	34060	AH
33980	34020	M
33940	33970	IH
33820	33930	L
33750	33810	D
33700	33740	UH
33610	33690	W
33580	33600	*SIL
33320	33570	L
33270	33310	AH
33200	33260	P
33110	33190	IY
32970	33100	P
32890	32960	EY
32820	32880	Z
3274002	32810	AE
3258002	32730	ER
32520	32570	T
32480	32509	K
32439	3247002	IH
32349	32430	R
32290	32340	EH
32160	32279	K
32090	3215002	R
32029	3208002	AA
31940	32020	T
31870	31930	P
31740	31860	EY
31590	31730	SH
31520	31580	Z
31470	31510	AE
31430	31460	HH
31400	31420	T
31300	31390	IH
30140	31290	*SIL
37580	37780	T
37480	37570	AH
37400	37470	B
37330	37390	T
37200	37320	S
36980	37190	AE
36840	36970	P
36770	36830	R
36720	36760	AA
36620	36710	AY
36570	36610	B
36540	36560	T
36490	36530	P
36420	36480	AE
36350	36410	R
36250	36340	T
36190	36240	L
36160	36180	AY
35190	36150	L
40220	40360	*SIL
40050	40210	Z
39880	40040	UW
39740	39870	CH
39670	39730	IY
39580	39660	W
39500	39570	Z
39330	39490	AE
39240	39320	Z
39210	39230	V
39120	39200	L
39050	39110	EH
38940	39040	S
38860	38930	R
38810	38850	AA
38720	38800	K
38610	38710	EY
38510	38600	M
38450	38500	IY
38380	38440	R
38260	38370	UW
38220	38250	T
38170	38210	L
38130	38160	AH
38080	38120	B
37930	38070	EY
37780	37780	*SIL
44100	44330	L
44030	44090	AO
43930	44020	B
43860	43920	Z
43710	43850	IH
43640	43700	M
43590	43630	AH
43530	43580	T
43470	43520	S
43410	43460	IH
43300	43400	S
43260	43290	N
43220	43250	AH
43130	43210	SH
43070	43120	EY
43000	43060	R
42940	42990	G
42890	42930	AH
42840	42880	M
42700	42830	IH
42640	42690	R
42530	42630	AA
42500	42520	*SIL
42100	42490	EY
42010	42090	D
41970	42000	AH
40360	41960	T
45920	46070	*SIL
45760	45910	Z
45630	45750	OW
45560	45620	N
45520	45550	IY
45460	45510	D
45420	45450	AA
45360	45410	B
45330	45350	IY
45270	45320	R
45220	45260	V
45030	45210	EH
44330	45020	*SIL
49370	49530	*SIL
49220	49360	EY
49100	49210	W
49040	49090	T
48960	49030	AY
48870	48950	R
48790	48860	AH
48760	48780	DH
48720	48750	IY
48650	48710	R
48590	48640	T
48560	48580	N
48490	48550	AH
48420	48480	K
48350	48410	R
48320	48340	AA
48190	48310	R
48100	48180	EH
48000	48090	W
47910	47990	Z
47870	47900	IY
47810	47860	L
47740	47800	M
