660	840	my
850	1090	fellow
1100	1670	americans
2720	3030	tonight
3030	3130	i'd
3130	3280	like
3310	3410	to
3420	3730	talk
3740	3890	with
3900	4100	you
4110	4640	about
4680	5310	immigration
6700	6820	for
6830	7040	more
7050	7240	than
7250	7420	200
7780	8540	years
8620	8800	our
8810	9260	tradition
9270	9370	of
9380	9910	welcoming
9920	10360	immigrants
10370	10550	from
10560	10730	around
10740	10800	the
10810	11080	world
11090	11220	has
11230	11440	given
11450	11660	us
11660	12390	tremendous
12400	12870	advantage
12880	13080	over
13090	13250	other
13500	14950	it's
14960	15160	kept
15170	15310	us
15320	15890	youthful
16400	17050	dynamic
17600	17720	and
17730	18640	entrepreneurial
19800	19910	it
19920	20080	has
20090	20510	shaped
20520	20640	our
20650	21220	character
21230	21370	as
21380	21450	a
21460	22070	people
22110	22310	with
22320	22800	limitless
22810	23550	possibilities
23680	24580	people
24590	24750	not
24760	25050	trapped
25060	25200	by
25210	25320	our
25330	25890	past
25900	26270	but
26270	26710	able
26720	26810	to
26820	27290	remake
27300	27810	ourselves
27820	28060	as
28070	28220	we
28230	28690	choose
31050	31240	our
31250	31790	immigration
31800	32200	system
32210	32410	is
32420	32750	broken
32820	33640	and
33650	34050	everybody
34060	34330	knows
34340	34410	it
36040	36460	families
36460	36650	who
36650	36820	enter
36820	36880	our
36910	37240	country
37250	37350	the
37360	37580	right
37590	37870	way
38040	38470	play
38480	38630	by
38640	38720	the
38730	39330	rules
39370	39600	watch
39610	40120	others
42290	42650	business
42660	43020	owners
43030	43140	who
43150	43390	offer
43400	43520	their
43530	43870	workers
43880	44030	good
44040	44480	wages
44490	44600	and
44610	45000	benefits
45010	45350	see
45360	45560	the
45570	46150	competition
46160	46890	exploit
47000	47710	undocumented
47720	48080	immigrants
48090	48200	by
48210	48480	paying
48490	48600	them
48610	48830	far
48840	49350	less
50750	50980	all
50990	51060	of
51070	51250	us
51260	51460	take
51470	52190	offense
52240	52740	anyone
52750	52920	who
52930	53200	reaps
53210	53320	the
53330	53770	rewards
53780	53890	of
53900	54100	living
54110	54180	in
54190	54700	america
54710	55070	without
55080	55480	taking
55490	55660	on
55670	55740	the
55750	56870	responsibilities
57270	57440	of
57450	57700	living
57710	57800	in
